content_id,video_title,publish_date,duration_sec,avg_view_duration,avg_perct_viewed,subs_gained,subs_lost,likes,comments,views,watch_time_hrs,subscribers,impressions,ctr,conversion_rate,month_year,engagement_rate
vRm3IxyLXd4,Gym coach Nitesh's Home made Mass Gainer✨ #massgainer#protienrich #niteshsoni#gymcoach#gym,2024-08-13,36.0,22.0,63.17,1,0,23,0,553,3.445,1,422,0.95,0.1808318264014466,2024-08,4.16
2G3jUfa0i00,Green Dal with Rice katori ✨#health #healthierecipes24 #recipe #dal #shorts,2025-09-07,57.0,12.0,21.72,0,0,15,0,936,2.0327,0,836,1.56,0.0,2025-09,1.6
3aIqeTqw6KE,Instant Poha Dosa recipe ✨#shorts #breakfast #dosa #instantdosa #trending,2024-02-05,43.0,19.0,46.23,3,1,16,2,575,3.1446,2,9299,1.73,0.5217391304347827,2024-02,3.13
cy-oxDfDEN8,Navratri Day 3✨💟 #food #kheer #navratri #navratrispecial #chandraghanta #maadurga #matarani #shorts,2024-10-05,55.0,20.0,37.27,1,0,12,0,574,3.0727,1,2199,3.05,0.1742160278745644,2024-10,2.09
TQRd9eOMkNY,Instant breakfast ekdam tasty🔥🤌🏻#shorts #food #foodie #breakfast #breakfastrecipe,2024-11-02,60.0,32.0,54.15,1,0,12,0,551,4.9641,1,976,1.43,0.1814882032667876,2024-11,2.18
p0DBkltXagg,Pesarattu #moongdal #sprouts (how to make sprouts dosa#moongdaldosamoong dal dosa),2024-04-04,60.0,23.0,39.64,2,0,17,0,535,3.5291,2,383,1.57,0.3738317757009346,2024-04,3.18
MuSYEuWbovI,Sattu Laddu #satturecipe #laddu #thambittu #healthierecipes24 shorts #shortsviral,2024-08-10,48.0,22.0,45.92,1,0,13,0,540,3.283,1,1368,1.24,0.1851851851851852,2024-08,2.41
Lj64sx-c-Uc,😌Soul food♥️ #aloopyazpuri #puri #food #winter #shorts #healthierecipes24,2024-12-25,20.0,17.0,85.4,1,0,19,0,545,2.5598,1,1445,1.8,0.1834862385321101,2024-12,3.49
YlzqZ7sac9k,Nitin Gadkari's Fav recipe on YouTube#shorts #recipeoftheday #nitingadkari #favorite #foodvlog,2024-08-14,33.0,17.0,53.75,0,0,20,0,554,2.6655,0,839,3.1,0.0,2024-08,3.61
FYziiw4aiMM,Kanda sabudana #healthierecipes24 #food #sabudana #sabudanakhichdi #shorts,2025-11-11,56.0,22.0,40.15,3,0,18,0,1848,3.9379,3,448,2.46,0.1623376623376623,2025-11,0.97
