Content,Video title,Video publish time,Duration,Average view duration,Average percentage viewed (%),Unique viewers,Subscribers gained,Subscribers lost,Likes,Comments added,Views,Watch time (hours),Subscribers,Impressions,Impressions click-through rate (%)
9ePAaHG41vk,This Gujarati Dish is loved by all✨🥰#food #daldhokli#comfortfood#fyp#shorts#shortsfeed,"Jul 8, 2024",61,0:00:34,56.83,,5,0,53,0,3351,30.3587,5,37198,3.77
446s0luJyaM,😋Ram Ke Laddu✨#shorts#streetfood#asmr#asmrcooking#food,"Sep 24, 2024",60,0:00:36,61.48,,6,0,40,3,3077,31.4287,6,2486,2.33
bONerQba718,Raghav's favorite Haridwar kadhi chawal #shorts #kadhipakora #raghavjuyal #curlytales #viralvideo,"Dec 2, 2024",48,0:00:18,38.6,,3,0,32,0,3213,15.802,3,5204,3.13
RMJuD36pybE,Nitin Gadkari's Favourite Fried Mirchi side dish🌶️#shorts #nitingadkari #food #viral #trending,"Jul 16, 2024",26,0:00:22,84.95,,7,0,56,0,3138,18.2154,7,3504,4.28
4xvdb0H3_Cs,✨Solkadhi❌Soul kadhi😌🤌🏻#food #solkadhi #tastyfood #ashabhosle #shortsfeed,"Oct 2, 2024",55,0:00:25,46.83,,3,0,46,0,3021,21.2626,3,1393,2.73
5gBovlYhBFg,Chef Ranveer's Heirloom dish#shorts #churi #ranveerbrar #kareenakapoorkhan #recipe,"Dec 1, 2024",61,0:00:29,48.21,,0,0,43,0,2949,23.9381,0,3533,2.72
8Fnc-cZSTgw,CM Eknath Shinde loves Misal🔥✨#shorts #eknathshinde #misalpav #shortsvideo,"Aug 27, 2024",27,0:00:21,78.22,,5,0,66,0,3346,17.1086,5,6186,5.97
pkcvZISq9wA,Have You tried Sunset rice? #kritisanon #kartikaaryan #viralvideo #sunsetrice #shorts,"Dec 27, 2024",32,0:00:16,51.29,,4,0,42,0,3460,13.3225,4,3319,3.4
M7QgMhZZ3pc,Sudha Murthy learned to cook this for Murthy sir😱 #food #recipe #shorts #shortsviral,"Nov 17, 2024",58,0:00:21,37.66,,8,0,45,2,3251,17.2207,8,12120,3.47
7Qg8bof28ik,Yumm Chapati Laddu#leftover#chapati#laddu #youtubeshorts #shorts#5minsrecipe #easyrecipe,"Dec 27, 2023",25,0:00:18,72.46,,7,0,48,0,2682,13.3579,7,4602,2.24
bD-X6IpupRQ,Smokey Bliss ✨😋#bainganbharta #eggplant #indian #food #shorts,"Jan 15, 2024",41,0:00:23,56.14,,5,0,43,0,2525,16.126,5,436,2.06
X8aMHr9dV7g,Rava Besan laddu✨ #laddu #food #short #shorts #recipe #dailyvlog #rava #besan #fypシ,"Jun 7, 2024",55,0:00:24,44.58,,8,0,49,0,2556,17.336,8,1550,1.55
_-5OXw6FayU,This Rasam recipe will blow your mind#tomato#recipe#rasam #rasammasala   #shorts#viral#trending,"Jan 10, 2024",39,0:00:20,53.54,,6,2,52,0,2508,14.5243,4,501,3.39
5JVEx_pReGQ,When food is your Love language✨♥️🥰#healthierecipes24 #love #food #shortsviral,"Feb 23, 2025",11,0:00:12,111.8,,2,0,77,3,2647,8.5928,2,2460,2.64
tf8gfeWUNh8,Sara Tendulkar's Fav Cheese Dosa #healthierecipes24 #saratendulkar #food #cheesedosa #shorts,"Oct 31, 2025",51,0:00:23,45.91,,0,0,31,0,3929,16.5862,0,1109,5.68
vgoVCbrXlHI,Janhvi Kapoor 'sViral Chilla #janhvikapoor#moongchilla #shortsfeedcelebrity food recipes,"Jul 31, 2024",52,0:00:22,42.59,,2,0,31,1,2374,14.5305,2,695,4.32
IjwRAECWxAY,Alia's pink salad 🥗♥️✨#beetroot #aliabhatt #salad #shorts #shortsviral,"Jul 3, 2024",21,0:00:17,81.59,,2,1,21,0,2278,10.7319,1,489,2.86
Fdhsvnx2cqI,South Star Kajal Agarwal loves 🍄Karchikai😋#kajalagarwal #shorts #southindianactress #food,"Nov 5, 2024",51,0:00:21,42.52,,3,1,50,0,2371,13.6911,2,6124,2.51
v1AWK2Ts2js,Shree Ganeshaya Namah! #song #ganeshchaturthi #ukdichemodakrecipe #modak #healthierecipes24,"Aug 27, 2025",53,0:00:30,57.97,,11,0,74,0,4249,19.1245,11,740,1.62
jUP0i4soDGI,Cheese Dosa ✨#healthierecipes24 #easyrecipe #cheesedosa #shorts,"Nov 6, 2025",60,0:00:34,57.93,,2,0,35,0,4488,21.4805,2,765,3.66
79C8TMMVxzY,Homemade Natural Sweetener #healthierecipes24 #naturalsweeteners,"Apr 2, 2025",35,0:00:17,49.77,,1,0,15,0,3838,10.9189,1,510,4.31
2chXbJlARYo,Quickest RAW Tomato Chutney ✨#shorts #raw #tomatochutney,"Jan 14, 2024",13,0:00:13,100.19,,3,0,20,0,2112,7.4799,3,1509,3.18
rOlknc2BMq8,🤔Would Parmish Verma like to eat this?✨#food #parmishverma#parleg,"Oct 1, 2024",16,0:00:13,85.28,,6,1,25,0,2117,7.764,5,3175,3.37
NaE_EBNFPuA,I tried squid games-2 ramen!#healthierecipes24 #koreanramen #knorr,"Apr 12, 2025",27,0:00:17,64.93,,2,0,16,0,3988,10.659,2,1459,4.87
gFrSNhDtlkM,How to keep METHI FRESH and green✨☘️💚#shorts #kitchentips #tipsandtricks #leafy #methi #fenugreek,"Feb 8, 2024",22,0:00:21,99.89,,6,1,18,0,2662,12.0711,5,20260,4.18
GrOhZdwyp9s,✨Vijay Devarakonda Tries punjabi food✨#shorts #healthierecipes24 #vijaydevarakonda,"Jan 17, 2025",59,0:00:28,48.85,,1,1,25,0,1837,14.5221,0,2420,5.04
GLlbopHfwaQ,Don't Skip this Chutney Recipe#onion#chutney#shorts#youtubeshorts,"Jan 2, 2024",24,0:00:17,73.82,,7,0,45,0,1855,9.0874,7,544,4.6
VTBBlbvYWQk,Prasad Thali✨🛕#shorts #prasad #rammandir  #lordrama #ayodhya #trending,"Jan 22, 2024",58,0:00:25,43.32,,4,0,35,0,1809,12.3233,4,2534,1.54
qJQNhe_nHyg,Chocolate covered strawberries#healthierecipes24  #food #chocolate #strawberries #shorts,"Jan 19, 2025",31,0:00:19,61.65,,3,0,43,1,1757,9.2643,3,2185,1.56
T47OhylEFQ0,🔥Actor Sharvari Wagh's easy Homemade drink recipe🍹✨ #food #sharvariwagh #easyrecipe #bollywoodactor,"Sep 2, 2024",24,0:00:17,72.5,,1,0,38,1,1823,8.3456,1,13618,4.54
66XLrqHr9fs,Sudha Murthy Loves PULIOGARE rice #puliogare #foodie #rice #recipe#shorts#healthierecipes24,"Nov 18, 2024",22,0:00:15,70.7,,1,0,24,0,1690,7.0775,1,2155,2.6
ci0M3QY7gYA,Pitru Paksha Prasad Laddu #ravaladdu #shorts #food #recipe #pitrupaksha2024,"Sep 26, 2024",59,0:00:28,48.54,,1,0,25,1,1681,13.0895,1,3517,2.02
cBotvAiO458,🥟🥥Easy Steamed Kadubu✨#shorts #kadubu #steamed #ganesh #chaturthi,"Sep 8, 2024",54,0:00:27,50.68,,0,0,30,0,2051,12.5415,0,18527,3.76
xG7zRRdLZFM,Nita Ambani Relishes Kashi's Famous Palak Patta Chaat#nitaambani#ambani #chaat#food#healthierecipes,"Aug 1, 2024",40,0:00:18,46.25,,1,0,25,0,1593,7.9643,1,1340,3.66
